ID,Sual,A,B,C,D,E,correct
130,130. İlk dəfə nuklein turşuları kim tərəfindən kəşf olunub?,N.L.Vavilov,M.Mişer,T.Morqan,S.S.Çetverikov,İ.P.Pavlov,B
131,131. Fermentlər haqqında səhv olan ifadəni göstərin?,fermentlərin temperaturun dəyişilməsinə qarşı aslılığı termolabillik adlanır,kimyəvi reaksiyalarda katalizator rolunun oynayırlar,bioloji oksidləşmə fermentləri dissimilyasiya proseslərinin əsasını təşkil edir,fermentlər lipid tərkibli üzvü maddələrdir,fermentlər zülal təbiətli üzvi maddələrdir,D
132,132. Ağız suyunda hansı fermentlər vardır?,"maltaza, saxaroza","amilaza, saxaroza","amilaza, maltaza","amilaza, maltaza",yalnız amilaza,C
133,133. Kimyəvi elementlərdən hansı katalaza fermentinin tərkibində koferment rolunu oynayır?,Mg2+,Mn2+,Zn2+,Fe2+,Xr3+,D
134,134. Qeyri-üzvi katalizatorlardan fərqli olaraq fermentlər hansı spesifikliyə malikdir?,hər bir ferment bir çox kimyəvi reaksiyaları kataliz edir,hər bir ferment yalnız bir kimyəvi reaksiyanı kataliz edir,fermentlər yalnız zülal tərkibli üzvü maddələri kataliz edir,fermentlər yalnız lipid mənşəli üzvü maddələri kataliz edir,bioloji aktivliyə malik deyildir,B
135,135. Hansı ferment öz aktivliyini 1000°S temperaturda itirmir?,ureaza,laktatdehidrogenaza,miokinaza,katalaza,pepsin,C
136,136. Hansı ferment 0-100°S temperaturda aktivlik göstərir?,sitoxromoksidaza,miokinaza,katalaza,alkaqoldehidrogenaza,ureaza,C
137,137. Bu fermentlərdən hansı mədədə zülallara təsir göstərir?,tripsin,aminopeptidaza,ximotripsin,pepsin,karboksipeptidaza,D
138,138. Hormonlar haqqında səhv olan ifadələri göstərin?,əsasən zülal təbiətli üzvü maddələrdən sintez olunurlar,yalnız sintez olunduğu vəzilərin funksiyasını tənzim edirlər,sintez olunduqları yerdən kənarda orqanizmin müxtəlif üzvlərinə təsir göstərirlər,xüsusi üzv və toxumalarda hazırlanaraq qana ifraz edilən fizioloji aktiv maddələrdir,hormonların fəaliyyəti sinir sistemindən asılıdır,B
139,139. Steroid tərkibli hormonlar hansılardır?,boy artımı hormonu və kalsitonin,adrogenlər və estrogenlər,adrenalin və noradrenalin,oksitosin və vazopressin,insulin və qlükaqon,B
140,140. Hormonların təsir mexanizminə hansı aid deyildir?,genetik aparata təsir göstərməklə fermentlərin sintezini tənzim edir,fermentlərin zülali hissəsinin əmələ gəlməsini tənzim edir,mineral maddələrin və vitaminlərin sintezində iştirak edir,fermentlərin koferment kompleksinin yaranmasını tənzim edir,hüceyrə membranlarından müəyyən maddələrin keçməsini tənzim edir,C
141,141. Hansı hormon qanda qlükozanın miqdarını aşağı salır?,parathormon,adrenalin,insulin,AHTH,vazopressin,C
142,142. Hansı xəstəlik zamanı hiperqlikemiya müşahidə olunur?,şəkərli diabet,bazedov xəstəliyi,addison xəstəliyi,qirke xəstəliyi,fenolketonuriya,A
143,143. Hansı hormonlar zülalların əzələ toxumasında parçalanmasını gücləndirir?,"vazopressin, somatotropin",qlükokortikoidlər,"adrenalin, noradrenalin","insulin, somatostatin","vazopressin, oksitosin",B
144,"144. Aşağıda verilən ifadələrdən hansılar düzgündür? 1.uzunmüddətli işlərin icrası zamanı katexolaminlərin mübadiləsi intensivləşir, məşq zamanı isə azalır 2.yüksək intensivli fiziki yükün təsiri altında qanda insulin hormonunun miqdarı artır, məşq zamanı isə aşağı enir 3.qanda qlükaqonun miqdarı tədricən artaraq işin sonunda maksimum səviyyəyə çatır 4.yüksək intensivli fiziki yükün təsiri altında qanda insulin hormonunun miqdarı sabit qalır 5.fiziki yükün təsiri altında qanda qlükaqon hormonunun miqdarı aşağı səviyyədə olur","2,3","1,2","4,5","2,5","1,3",E
145,145. Qısamüddətli işin icrası zamanı hormonların ifrazı prosesi necə olur?,zəifləyir,sürətlənir,sabit qalır,sintez olmur,maksimal səviyyəyə çatır,B
146,146. Uzunmüddətli işlərin icrası zamanı hormonların ifrazı prosesi necə olur?,sürətlənir,zəifləyir,submaksimal səviyyəyə çatır,maksimal səviyyəyə çatır,sabit qalır,B
147,147. Əzələ işi zamanı qanda insulin hormonu necə dəyişir?,dəyişmir,artır,aşağı enir,maksimal səviyyədə olur,çox yuxarı qalxmır,C
148,148. İntensiv əzələ işi zamanı qanın tərkibində hansı hormonun azalması müşahidə edilir?,noradrenalin,vazopressin,insulin,heç biri,qlükaqon,C
149,149. Vitaminin orqanizmdə qismən çatışmazlığı ilə əlaqədar patoloji proseslər necə adlanır?,raxit xəstəliyi,avitaminoz,polihipovitaminoz,polivtaminoz,hipervitaminoz,B
150,150. Hipervitaminoz nədir?,mineral maddələrin və vitaminlərin artıq dozada orqanizmə qəbul edilməsi,vitaminlərlə zəngin olan qida və dərman maddələrinin artıq dozada istifadə edilməsidir,yalnız 1 vitamin çatışmazlığıdır,ağır dərəcəli vitamin çatışmazlığıdır,vitaminlərlə zəngin olan qida və dərman maddələrinin az bir dozada istifadə edilməsidir,B
151,151. Yağda həll olan vitaminlər hansılardır?,"D, E, K, C","A, D, E, K","B1, B2, B6","A, PP, B1","A, D, C",B
152,152. Antioksidant xassəyə malik olan vitaminlər hansılardır?,"A, E, C, P","B2, B3, B6","B1, B6, B15","K, PP",yalnız C vitamini,A
153,153. Vitaminlər hansı üzvi maddənin tərkibində koferment funksiyasını yerinə yetirir?,lipidlərin,nuklein turşuların,fermentlərin,karbohidratların,zülalların,C
154,"154. Orqanizmdə vitaminlərin bioloji rolu hansılardır? 1.genlərin fəaliyyətinə, zülal biosintezinə və hüceyrə inkişafına müsbət təsir edirlər 2.antioksidant xassəyə malikdirlər və fermentlərin aktivliyini yüksəldirlər 3.antioksidant xassəyə malikdirlər və fermentlərin aktivliyinə təsir göstərmirlər 4.mineral maddələrin və aminturşuların biosintezində iştirak edirlər 5.mineral maddələrin, yağların və zülalların biosintezində iştirak edirlər","2,3","1,3","1,2","4,5","1,4",C
155,155. Raxit xəstəliyi hansı vitamin çatışmadıqda baş verir?,E,A,D,K,C,C
156,156. Gözün işığı hissetmə qabiliyyətinin tənzimində hansı vitaminin və üzvi maddənin rolu vardır?,E vitamini və kazein,C vitamini və qlükoza,A vitamini və opsin zülalı,D vitamini və opsin zülalı,K vitamini və riboza zülalı,C
157,157. Hansı vitamin çatışmadıqda bədxassəli anemiya xəstəliyi baş verir?,A,C,B6,B12,PP,D
158,"158. Qara qarağat, itburnu, yaşıl və qırmızı bibər, kahı, gül kələmi, kartof, portağal kimi meyvə tərəvəzlər ən çox hansı vitaminlə zəngindir?",B12,C,PP,E,B1,B
159,159. Süd və süd məhsullarında hansı vitaminlər az miqdarda olur?,"C, P","A, D","A, E","K, E","B1,B6",E
160,160. Avitaminoz nədir?,mineral maddələrin və vitaminlərin çatışmazlığı,hormonların çatışmazlığı,vitaminlərin çatışmazlığı,fermentlərin və vitaminlərin çatışmazlığı,vitaminlərin artıq olması,C
161,161. Hansı vitaminlər suda həll olur?,"B, A, E, C","B, C, P, PP","A, E, D, K","A, E, D, C","D, K, C",B
162,162. 100 m. məsafəyə qaçan zaman əzələlər hansı üzvi maddələr hesabına enerji ilə təmin olur?,"ADF, ATF","kreatinfosfat, qlikogen",aminturşular,yağlar,"qlükoza, yağ turşuları",B
163,163. Əzələ toxumasının əsas enerji substratlarına hansı üzvi maddələr aiddir?,"hormonlar,vitaminlər, fermentlər","qlükoza, aminturşular, yağ turşuları","qlükoza, aminturşular, mineral maddələr","vitaminlər, aminturşular,mineral maddələr","kreatinfosfat, aminturşular,fermentlər",B
164,164. İnsan orqanizminin hüceyrəsinin hansı orqanoidində yağ turşularının enerji mübadiləsi baş verir?,nüvə,mitoxondri,ribosom,mikrosoma,sitoplazma,B
165,165. Çox uzaq məsafələrə qaçan idmançıların orqanizmində lipid mübadiləsi necə olur?,qanda xolesterinin və fosfatidlərin miqdarı çox yüksək olur,qanda yalnız sərbəst yağ turşularının miqdarı yüksək olur,qanda sərbəst yağ turşuların və fosfatidlərin miqdarı azalır,qanda sərbəst yağ turşuların və keton cisimciklərin miqdarı yüksəlir,qanda sərbəst yağ turşuların və keton cisimciklərin miqdarı azalır,D
166,166. Üzvi maddələrin enerji mübadiləsinin son məhsulu hansıdır?,"NH2, H2O","SH, H2O","NO, H2O","CO2, H2O","CO, H2O",D
167,167. İntensiv əzələ işi zamanı qanda hansı maddənin miqdarı maksimal səviyyəyə çata bilər?,ammonyakin,yağ turşularının,süd turşusunun,karbon qazının,amin turşularının,C
168,168. Yüksək intensivli fiziki işlər zamanı yağların oksidləşməsi hansı prosesə görə az effektlidir?,aşağı sürətlə və daha az oksigen sərf etməklə oksidləşdiyinə görə,yalnız karbohidratların oksidləşməsində iştirak etdiyinə görə,aşağı sürətlə və daha çox oksigen sərf etməklə oksidləşdiyinə görə,yüksək sürətlə və daha az yağ turşuları sərf etməklə oksidləşdiyinə görə,yağlar parçalandıqda az miqdarda enerji ayrıldığına görə,A
169,169. Əzələ işi zamanı biokimyəvi dəyişikliklərin xarakterinə görə fiziki hərəkətlər neçə qrupa bölünür?,4,5,3,2,7,C
170,170. Lokal fiziki hərəkətlər zamanı orqanizmdə baş verən biokimyəvi dəyişikliklərin dinamikası necə olur?,çox yüksək olmur,sabit olur,maksimal səviyyəyə çatır,çox zəif olur,submaksimal səviyyəyə çatır,D
171,171. Marafon qaçışından sonra idmançı orqanizmində hansı dəyişikliklər baş vermir?,su itkisi çox olur,sidikdə azotun miqdarı çox olur,su itkisi az olur,bərpa prosesləri 2-3 gün olur,bədən çəkisi aşağı düşür,C
172,172. Əzələ işi zamanı orqanlarda və toxumalarda hansı biokimyəvi dəyişikliklər baş verir? 1.ürək əzələsində aerob reaksiyalar üstünlük təşkil edir 2.ürək toxumasında süd turşusu və piroüzüm turşusunun miqdarı azalır 3.sinir hüceyrələrində makroerqik fosfatın ehtiyatları tükənir 4.ürək əzələsində və sinir toxumasında asidoz halı çox az yaranır,"1,2","2,4","1,3","2,3","3,4",C
173,173. Dözümlülüyün inkişafı üçün ən çox effektli metodlar hansılardır?,qısamüddətli məşq metodları,yalnız fasiləli məşq metodları,uzunmüddətli fasiləsiz fiziki iş və təkrar fasiləli məşq metodları,kreatinfosfatın və amin turşuların çox miqdarda qəbul edilməsi,yalnız uzunmüddətli fasiləsiz fiziki məşq metodları,C
174,174. İdman məşqi prosesində əldə olunmuş adaptasiyanın effektliyi işin həcminin artmasından asılı olaraq necə dəyişir?,sabit qalır,azalır,çoxalır,maksimal şiddətə çatır,submaksimal şiddətə çatır,B
175,175. Sidiyin qeyri-üzvi maddələrinə hansılar aiddir?,"difosfoqliserin, qliserin-stearat",piroüzüm turşusu və süd turşusu,"ammonium turşfosfat duzları, sulfat turşusunun duzları, bikarbonatlar","kreatin, kreatin fosfat və qlükoza fosfat","indol, skatol, fenol və krezol",C
176,176. Qaçış zamanı sidiyin kimyəvi reaksiyası nə üçün qələviliyə doğru dəyişilir?,sidikdə amin turşuların miqdarı artdığına görə,sidikdə NaCl duzunun miqdarı artdığına görə,sidik cövhərinin parçalanması və ammonyakın ayrılmasına görə,sidikdə süd turşusunun və ammonyakın miqdarı artdığına görə,sidikdə fosfat duzlarının miqdarı artdığına görə,C
177,"177. Əzələ işindən sonra sidiyin biokimyəvi xüsusiyyətlərinə hansılar aiddir? 1.sidikdə fosfatların miqdarı və kreatinin miqdarı artır 2.əzələ işindən sonra sidikdə ammonyakin miqdarı artır 3.əzələ işindən sonra sidikdə kreatinin miqdarı azalır 4.ammonyakın miqdarı azalır, fosfatların miqdarı isə artır 5.azotlu maddələrin miqdarı həmişə sabit qalır","3,4","1,3","2,4","1,4","1,2",E
178,178. Çox uzaq məsafələrə qaçışın biokimyəvi xüsusiyyətlərinə hansılar aiddir?,qanda şəkərin miqdarının həmişə yüksək olması,yüksək enerji ehtiyatının toplanması,böyük enerji və su itkisinin itirilməsi,qanda insulin hormonunun çoxalması,O2 borcunun və ATF-in çoxalması,C
179,179. İdman oyunları növünün ən xarakterik biokimyəvi xüsusiyyətləri hansıdır?,az miqdarda enerji itkisi verməsidir,orqanizmdə suyun itirilməsi və onunla bağlı çəkinin azalmasıdır,qeyri-emosional şəraitdə adrenalinin artmasıdır,maddələr mübadiləsinin zəifləməsidir,O2 borcunun olmamasıdır,B
180,180. Uzunmüddətli idman məşqi zamanı enerji mənbəyi kimi hansı maddələr səfərbər olunur?,"fosfat turşusu, yağ turşuları",yalnız sərbəst yağ turşuları,"sərbəst yağ turşuları, keton cisimcikləri",piroüzüm turşusu,süd turşusu,C
181,181. Güləş idman növünün biokimyəvi xüsusiyyətlərinə hansılar aiddir? 1.anaerob və aerob oksidləşmə prosesləri daima bir-birini əvəz edir 2.qanda süd turşusunun miqdarı çox az olması 3.qanda adrenalinin və şəkərin miqdarı yüksək olur 4.qanda insulinin miqdarının yüksək olması,1,3,2,"1,2","2,4",A
182,182. İnkişafda olan orqanizmin biokimyəvi xüsusiyyətləti hansılardır? 1.orqanizm bütün həyatı boyu biokimyəvi və funksional dəyişikliklərə məruz qalır 2.uşaq orqanizminin inkişafı zamanı assimilyasiya prosesi daha intensiv sürətdə gedir 3.orta yaş orqanizmlərdə assimilyasiya və dissimilyasiya prosesi zəif gedir 4.orqanizm bütün həyatı boyu yalnız fiziki və funksional dəyişikliklərə məruz qalır 5.orqanizm yalnız biokimyəvi dəyişikliklərə məruz qalır,"1,2","2,5","3,4","2,4","1,3",A
183,183. Hansı yaş dövründə zülalların biosintezi üstünlük təşkil edir?,uşaqlıq dövründə,qoca yaşlı insanlarda,orta yaş,yeniyetmə dövründə,yalnız idmanla məşğul olan insanlarda,A
184,184. Qocalıq dövründə zülal sintezinin zəifləməsinə səbəb olan biokimyəvi amillər hansıdır?,amin turşuların hüceyrədə çatışmazlığıdır,keyfiyyətsiz qidalanmadır,zülal tərkibli qida maddələrinin az qəbul edilməsi,hüceyrənin nüvəsində yerləşən DNT molekullarının çatışmazlığı,zülal və kreatinin hüceyrədə azalmasıdır,D
185,185. Qidaya kreatinin daxil edilməsi fiziki iş qabiliyyətinə necə təsir edir?,zəiflədir,normal səviyyədə saxlayır,yüksəldir,müvəqqəti olaraq aşağı salır,heç bir təsir göstərmir,C
186,186. İnsanın fiziki iş qabiliyyəti hansı amildən aslıdır?,qələvi maddələrdən,hormonların aktivliyindən,yaş dövrlərindən,fermentlərinin aktivliyindən,turş maddələrdən,C
187,187. Qısamüddətli qida çatışmazlığı zamanı orqanizm hansı makroergik maddələrdən istifadə etməyə başlayır?,vitaminlərdən,kreatin fosfatdan,karbohidrat və yağlardan,zülal və yağlardan,hormonlardan,C
188,188. Uzunmüddətli qida çatışmazlığı zamanı orqanizm hansı enerji maddələrindən istifadə etməyə başlayır?,zülallardan və yağlardan,yalnız yağlardan,"zülal, yağ və qlikogendən",yalnız ADF-dən,yalnız zülallardan,C
189,189. Hansı məhsullarda xolesterin yoxdur?,alma şirəsi,yumurta,xama,mal əti,qaraciyər,A
190,190. Orta yaşlı insanların sutka ərzində heyvani zülallara təlabatı necədir?,70-100 qr,400-450 qr,150-200 qr,200-250 qr,100-150 qr,A
191,191. Sutka ərzində orta yaşlı insanların karbohidratlara təlabatı nə qədərdir?,70-100qr,200-230qr,150-200qr,100-150qr,50-70qr,D
192,"192. Yağlara, zülallara və karbohidratlara görə normal fizioloji kalorimetrik enerji əmsallarını göstərin?","yağlar– 9,3kkal, zülallar–5,4kkal, karbohidratlar–4,1kkal","yağlar–5,4kkal, zülallar–5,4kkal, karbohidratlar–5,4kkal","yağlar–9,3kkal, zülallar–4,1kkal, karbohidratlar–4,1kkal","yağlar–9,3kkal, zülallar–4,1kkal, karbohidratlar–5,4kkal","yağlar–6,4kkal, zülallar–4,1kkal, karbohidratlar-4,1kkal",C
193,193. Qidanın köməyi ilə orqanizmdə hansı biokimyəvi proseslər baş verir? 1.energetik mübadilə təlabatı ödənilir 2.assimilyasiya prosesləri sürətlə gedir 3.plastik mübadilə təlabatı ödənilmir 4.dissimilyasiya prosesləri çox zəif gedir 5.assimilyasiya prosesləri çox zəif gedir,"1,2","1,4","2,3","3,5","2,4",A
194,194. İdmanda işgörmə qabiliyyətinin yüksəldilməsi üçün hansı metodlardan və maddələrdən istifadə olunur? 1.dopinqlər və dopinq metodlarından 2.psixoloji metodlar və qida əlavələrindən 3.qida əlavələri və mineral maddələrdən 4.yalnız mineral maddələrdən,"1,3",2,"1,2",3,"1,4",C
195,195. İnsan orqanizminə xüsusi zərər vuran və nəzarətə ehtiyacı olan vasitələr hansılardır?,vitamin kompleksi,psixoloji metodlar,mexaniki amillər,dopinqlər,hormon və ferment preparatları,D
196,196. Dopinq maddələri hansı funksiyanı yerinə yetirir? 1.ürək işinin funksiyasını artırır 2.qaraciyərin funksiyasını nizama salır 3.müvəqqəti olaraq idmançıların iş görmə qabiliyyətini yüksəldir 4.DNT və RNT-in biosintezinə müsbət təsir göstərir,2,"3,4","1,3",3,1,D
197,197. İdmançının orqanizmində dopinqin olması təsdiqlənərsə hansı hadisə baş verə bilər?,idmançı dünya yarışlarına göndərilir,idmançı xəstəxanaya aparılır və müalicə edilir,idmançı Olimpiya Oyunlarından xaric olunur,idmançı yalnız ölkədaxili yarışlardan xaric olunur,idmançı avropa çempionatlarına göndərilir,C
198,198. İdmanda dopinq vasitələrindən ən çox hansıları qəbul olunur?,betta-blakatorlar,psixostimulyatorlar,anabolik steroidlər,narkotik maddələr,diuretiklər,C
199,199. Dopinqlərin müntəzəm qəbul edilməsi orqanizmdə hansı proseslərin əmələ gəlməsinə səbəb olur? 1.qaraciyərin serrozuna və ürəyin zəifləməsinə 2.immun sistemin zəifləməsinə 3.daxili sekressiya vəzilərinin funksiyasının artmasına 4.zülalların biosintezinin artmasına 5.nuklein turşularının biosintezinin güclənməsinə,"1,3","1,2","2,3","3,4","4,5",B
200,200. Hansı analizlər Beynəlxalq Olimpiya Komitəsinin tələblərinə görə orqanizmdə dopinqin olmasını göstərir?,əzələ,nəcis,tüpürcək,toxuma mayesi,"qan, sidik",E
201,201. Sürətli məşq effekti zamanı yaranan biokimyəvi dəyişikliklr nə zaman müşahidə edilir?,işdən 5-6 saat sonra,məşqin gedişində və məşqdən sonrakı 1-2 saat müddətində,işdən 2-3 gün sonra,çoxillik məşqlərdən sonra,5-6 saat istirahətdən sonra,B
202,202. Əzələ işi zamanı oksigen tələbatının yüksəlməsi:,qorunmuş məşq effektidir,kumulyativ məşq effektidir,sürətli məşq effektidir,superkompensasiyon effektidir,uzunmüddətli məşq effektidir,C
203,203. Kumulyativ məşq effekti zamanı yaranan biokimyəvi dəyişikliklər orqanizmdə nə zaman müşahidə edilir:,məşqin gedişindən və məşqdən sonra bərpanın ilk saatlarında,məşqdən 2-3 gün sonra,məşqdən 5-6 saat sonra,çoxillik idman məşqlərindən sonra,uzunmüddətli intensiv məşqlərdən sonra,D
204,204. Əzələ fəaliyyəti zamanı qanda Ph azalması nəyi əks etdirir?,uzunmüddətli məşq effektini,kumulyativ məşq effektini,qorunmuş məşq effektini,sürətli məşq effektini,əlavə məşq effektini,D
205,205. Saxlanılan məşq prosessi zamanı orqanizmdə yaranan biokimyəvi dəyişikliklər müşahidə olunmağa başlayır:,uzunmüddətli intensiv məşqlərdən sonra,məşqin gedişində və ondan sonrakı bərpa dövrünün 1-2 saatlarında,işin icrasından 5-6 saat sonra,çoxillik məşqlərdən sonra,məşqlərdən 1-2 gün sonra,E
206,206. Əzələ işi zamanı yaranan hipertrofiya:,kumulyativ məşq effektidir,saxlanılan məşq effektidir,sürətli məşq effektidir,əlavə məşq effektidir,uzunmüddətli məşq effektidir,C
207,207. Çoxillik məşqlərdən sonra yaranan əzələ hipertrofiya:,karbohidratların və vitaminlərin qəbulunun artması,saxlanılmış məşq effekti,sürətli məşq effekti,məşqlərdən sonra zülalların,kumulyativ məşq effekti,E
208,208. Əzələ fəaliyyəti zamanı baş verən hipertrofiya:,saxlanılmış məşq effektidir,kumulyativ məşq effektidir,sürətli məşq effektidir,heyvan mənşəli zülalların qəbulunun güclənməsindən,məşqdən sonra karbohidrat və yağların qəbulunun artmasından,C
209,209. Bərpa dövründə yaranan superkompensasiya:,idman iş qabiliyyətinin azalması,məşq dövründə maddələrin parçalanmasının güclənməsi,saxlanılmış məşq effektidir,kumulyativ məşq effekti,sürətli məşq effekti,C
210,210. Çoxillik məşqlərdən sonra əzələ hüceyrələrində mitoxondrilərin sayının artması:,sürətli məşq effekti,kumulyativ məşq effekti,saxlanılmış məşq effekti,uzunmüddətli məşq efekti,təkrarlanan məşq effekti,B
211,211. Qüvvə keyfiyyətinin biokimyəvi əsası nədir?,"təqəllüs zülalları, aktivliyi və hipertrofiyaya uğramış əzələ hüceyrələrin toxuma tənəffüsünün imkanları",təqəllüs zülalı aktin və onun ATF-aza,əzələlərin təqəllüs və mitoxondrial elementləri və ATF tənəffüs imkanları,aktin və miozin miofibrillərinin və onların arasında olan körpücüklərin miqdarı,"təqəllüs zülalı miozin, əzələ kütləsinin artması və ATF-aza aktivliyi",E
212,212. Sürətin biokimyəvi əsasını nə təşkil edir:,miozinin ATF-aza aktivliyi və kimyəvi enerjinin sürətli olunması,aktinin ATF-aza aktivliyi və kimyəvi enerjinin sürətli səfərbər olunması,miozin-aktin kompleksinin ATF-aza aktivliyi və kimyəvi enerjinin ləng səfərbər olunması,aktin-miozin kompleksinin ATF-aza aktivliyi və kimyəvi enerjinin sürətli səfərbər olunması,yavaş təqəllüs edən liflərin sayı və miozinin ATF-aza aktivliyi,A
213,213. Uzunmüddətli işlərə qarşı dözümlüyün biokimyəvi əsaslarını nə təşkil edir:,aerob yolla sürətli yığılan liflərdə ATF resintezi və oksigen borcunun artması,oksigenli-aerob yolla resintez olunan fosfogenlərin potensial energetik imkanlarından və orqanimzmin ümumi energetik ehtiyyatlarından,sürətli yığılan liflərdə ATF aerob resintezi və orqanizmdə OMS-nın ölçüsü,orqanizmin tənəffüs imkanları və ATF anaerob-aerob resintezi,qlikolitik mexanizmlərdə uzunmüddətli işlər zamanı ATF anaerob resintezinin potensial imkanları,B
214,214. Sürətli yığılan nazik ağ əzələ liflərinin tərkibinə daxildir,"miozin, aktin, troponin","aktin, miozin, mioqlobin","aktin, troponin, tropomiozin","tropomiozin, aktin, miozin","miozin, hemoqlobin, mioqlobin",C
215,215. Əzələ təqəllüsünün başlanmasının əsas səbəbi,miositlərdə laktatın qatılığının artması,ATF hidrolizi,miofibrillərin nazik və yoğun arasında köndələn körpücüklərin yaranması,sarkoplazmada Ca2+ ionlarının qatılığının yüksəlməsi,sitoplazmada qlikoqenin qatılığının çoxalması,D
216,216. Hərəki sinirin impulsu nəyə səbəb olur:,sarkoplazmada Ca2+ ionlarının qatılığının azalması,sarkoplazmada Ca2+ ionlarının qatılığının artması,ATF hidrolizi,aktinlə miozin arasında qarşılıqlı təsir,sarkoplazmada ADF artması,B
217,217. Marafon qaçışlarında yorulmanın inkişafına səbəb nədir,əzələlərdə toxuma tənəffüsünün sürətinin enməsi,əzələlərdə suyun miqdarının azalması və hipoksiyanın inkişafı,qanda süd turşusunun toplanması,sidik cövhərinin qanda qatılığının azalması,əzələlərdə kreatin fosfatın qatılığının enməsi,A
218,218. ATF resintezinin imkanlarını sidiklə xaric olunan hansı maddəyə görə qiymətləndirilir?,sidik turşusunun,aminturşularının,kreatinin,sidik cövhərinin,qlükozanın,C
219,219. ATF resintezinin laktat yolunun imkanlarının sürətinin yüksəlməsinə hansı hormon təsir edir?,aldesteron,adrenalin,insulin,testesteron,tiroksin,B
220,220. Yağlar ATF hansı yolla resintezi üçün enerji mənbəyidir,adenilamkinaza,anaerob,laktat,alaktat,aerob,E
221,221. İdmançılarda sakitlik vaxtı acqarına qanda qlükozanın qatılığı,1-2 mMol/l,4-6 mMol/l,8-10 mMol/l,12-14 mMol/l,15-20 mMol/l,B
222,222. Yağ turşularının parçalanmasının aralıq məhsullarına aiddir,karbon qazı,qliserin,vitamin,keton cisimciklər,sidik cövhəri,D
223,"223. Qida rasionunda zülalların, yağların və karbohidratların nisbəti necə olmalıdır?",1:02:01,1:01:01,1:03:04,1:02:03,0.155555556,E
224,224. Dopinqlərə aiddir:,karotin,karnitin,eritropoetin,asparigin turşusu,vitamin,C
225,225. Qan dopinqlərindən nə üçün istifadə edilir,anaerob iş qabiliyyətinin yüksəldilməsi üçün,alaktat iş qabiliyyətinin yüksəldilməsi üçün,laktat iş qabiliyyətinin yüksəldilməsi üçün,aerob iş qabiliyyətinin yüksəldilməsi üçün,zehni iş qabiliyyətinin yüksəldilməsi,D
226,226. Dopinq prosedurasına aiddir,inqalasiya,autotreninq,bədəni möhkəmlətmək,qan köçürmə,barokameralardan istifadə,D
227,227. Aşağıda sədalananların hansılar doppinqlərdir,Vitaminlər,immunostimulyatorlar,heptanoprotektorlar,adaptogenlər,psixostimulyatorlar,E
228,228. Aşağıdan preparatlardan hansıları dopinqlərə aiddir,vitaminlər,diuretiklər,aminturşular,Vitaminlər,antihipoksantlar,B
229,229. Anabolik steroidlər hansı prosesin gücləndirilməsi üçün doppinq kimi istifadə olunur,zülalların parçalanmasını,qlikogenin,zülalların sintezini,yağların oksidləşməsini,qlükozanın oksidləşməsini,C
230,230. Dopinq kimi eritripoetin nə üçün istifadə edilir,anaerob iş qabiliyyətini yüksəltmək,aerob iş qabiliyyətini yüksəltmək,laktat iş qabiliyyətini yüksəltmək,alaktat iş qabiliyyətini yüksəltmək,zehni iş qabiliyyətini yüksəltmək,B
231,231. İdmanşılarda doppinq nəzarətini aparmaq üçün bioloji mayelərdən nümunələri idmançılara bildirişdən sonra nə vaxta qədər götürülməlidir?,3 saata,1-10 dəq,1 saata,2 saata,40 dəq,E
232,232. Sarkoplazmatin şəbəkənin çəlləklərində hansı ionlar toplanır?,H+,K+,Cl-,Ca2+,Na+,D
233,233. Əzələdə hansı zülalının tərkibində dəmir olur?,kollagenin,aktinin,miozinin,fibrinogenin,mioqlobinink,E
234,234. Əzələ təqəllüsünün baş verməsi üçün sarkoplazmada nəyin olması mütləqdir,ATF və Ca2+,ATF və KRF,qlikogen və kreatinfosfat,Ca2+ və N+,aktin və kreatinfosfat,A
235,235. Miozinin ATF-azanın aktivliyi hansı qarşılıqlı təsir zamanı yüksəlir,KRF,ADF,aktinlə,ATF,AMF,C
236,236. Oksigenin maksimal sərfi (OMS) nəyin maksimal sürətini xarakterizə edir,adenilatkinaza reaksiyasının,qlikolizin,kreatinfosfat reaksiyasının,toxuma tənəffüsünün,miokinaza reaksiyasının,D
237,237. Marafon qaçışlarında əsas enerji mənbəyi,toxuma tənəffüsü,qlikoliz,kreatinfosfat reaksiyası,adenilatkinaza reaksiyası,miokinaza reaksiyası,A
238,238. Aerob iş qabiliyyəti əsasən əzələdəkilərin hansının miqdarından daha çox asılıdır,ribosomların,mitoxondrilərin,lizosomların,holci aparatının,miofibrillərin,B
239,239. Hansı yüklərin icrası zamanı əsas enerji mənbəyi qlikoqen hesab olunur,böyük,maksimal,submaksimal,mülayim,hüdud,C
240,240. ATF aerob resintezi həyata keçir,qlikogenin süd turşusuna qədər parçalanması,qlikogenin CO2 və H2O qədər parçalanması,yağların hidrolizi zamanı,ATF 2 molekulunun qarşılıqlı təsirində,zülalların hidrolizində,B
241,241. ATF resintezinin əsas yoludur,qlükozanın parçalanması,toxuma tənəffüsü,qlikogenin CO2 və H2O qədər parçalanması,ADF iki molekulunun qarşılıqlı təsiri,qlikogenin süd turşusuna qədər parçalanması,E
242,242. ATF laktat yolu ilə resintezinin sürətinin yüksəlməsinə təsir edir,aldesteron,parathormon,adrenalin,testosteron,tipoksin,C
